Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58293924,"Book of Night (Book of Night, #1)",Holly Black,"Black, Holly",,1250812194,9781250812193,0,3.55,Tor Books,Hardcover,304,2022,2022,,1/1/22,to-read,to-read (#161),to-read,,,,0,0
28818718,Calamities,Renee Gladman,"Gladman, Renee",,1940696275,9781940696270,0,4.11,Wave Books,Paperback,144,2016,2016,,1/19/22,to-read,to-read (#165),to-read,,,,0,0
51792100,A Burning,Megha Majumdar,"Majumdar, Megha",,0525658696,9780525658696,0,3.73,Knopf Publishing Group,Hardcover,304,2020,2020,,1/19/22,to-read,to-read (#164),to-read,,,,0,0
34964181,Human Acts,Han Kang,"Kang, Han",Deborah     Smith,9781101906,9781101906743,0,4.22,Hogarth Press,Paperback,212,2016,2014,,1/16/22,to-read,to-read (#163),to-read,,,,0,0
51045613,Deacon King Kong,James   McBride,"McBride, James",,073521672X,9780735216723,0,4.18,Riverhead Books,Hardcover,384,2020,2020,,1/9/22,to-read,to-read (#162),to-read,,,,0,0
57789637,"Daughter of the Moon Goddess (The Celestial Kingdom Duology, #1)",Sue Lynn Tan,"Tan, Sue Lynn",Kuri Huang,0063031302,9780063031302,0,4.18,Harper Voyager,Hardcover,512,2022,2022,,1/1/22,to-read,to-read (#160),to-read,,,,0,0
53446712,"The Oleander Sword (The Burning Kingdoms, #2)",Tasha Suri,"Suri, Tasha",,,,0,4.39,,Kindle Edition,512,2022,2022,,9/18/21,to-read,to-read (#152),to-read,,,,0,0
29758013,"The Ninth Rain (The Winnowing Flame Trilogy, #1)",Jen Williams,"Williams, Jen",,1472235177,9781472235176,0,4.13,Headline,Paperback,544,2017,2017,,12/17/21,to-read,to-read (#157),to-read,,,,0,0
34673711,"The Ember Blade (The Darkwater Legacy, #1)",Chris Wooding,"Wooding, Chris",,1473214866,9781473214866,0,4.22,Gollancz,Mass Market Paperback,824,2019,2018,,12/17/21,to-read,to-read (#158),to-read,,,,0,0
198691,A Girl from Yamhill,Beverly Cleary,"Cleary, Beverly",,0380727404,9780380727407,0,4.02,HarperCollins,Paperback,352,1996,1988,,12/26/21,to-read,to-read (#159),to-read,,,,0,0
52782536,Land of Big Numbers: Stories,Te-Ping Chen,"Chen, Te-Ping",,0358272556,9780358272557,0,3.97,Mariner Books,Paperback,233,2021,2021,,12/5/21,to-read,to-read (#156),to-read,,,,0,0
57823811,Good Rich People,Eliza Jane Brazier,"Brazier, Eliza Jane",,0593198255,9780593198254,0,3.25,Berkley,Hardcover,321,2022,2022,,12/5/21,,,read,,,,0,0
57768107,Love & Virtue,Diana Reid,"Reid, Diana",,,9781761150111,0,3.99,Ultimo Press,Paperback,320,2021,,,11/11/21,to-read,to-read (#155),to-read,,,,0,0
54746205,Velvet Was the Night,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,0593356829,9780593356821,0,3.52,Del Rey,Hardcover,289,2021,2021,,9/18/21,to-read,to-read (#154),to-read,,,,0,0
57185348,Matrix,Lauren Groff,"Groff, Lauren",,1594634491,9781594634499,0,3.71,Riverhead Books,Hardcover,260,2021,2021,,9/18/21,to-read,to-read (#153),to-read,,,,0,0
7181805,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,014119247X,9780141192475,0,4.04,Penguin Classics,Hardcover,474,2009,1815,,3/5/21,dnf,dnf (#22),dnf,,,,0,0
53023523,All the Frequent Troubles of Our Days: The True Story of the American Woman at the Heart of the German Resistance to Hitler,Rebecca Donner,"Donner, Rebecca",,031656169X,9780316561693,0,4.31,"Little, Brown and Company",Hardcover,576,2021,2021,,8/1/21,to-read,to-read (#150),to-read,,,,0,0
51295445,My Devotion,Julia Kerninon,"Kerninon, Julia",Alison Anderson,1787702553,9781787702554,0,4.16,Europa Editions,Paperback,272,2020,,,6/6/21,to-read,to-read (#149),to-read,,,,0,0
55502846,Unraveled: The Life and Death of a Garment,Maxine Bedat,"Bedat, Maxine",,0593085973,9780593085974,0,4.15,Portfolio,Hardcover,336,2021,2021,,6/5/21,to-read,to-read (#148),to-read,,,,0,0
55000747,The Natural Mother of the Child: A Memoir of Nonbinary Parenthood,Krys Malcolm Belc,"Belc, Krys Malcolm",,1640094385,9781640094383,0,4.17,Counterpoint Press,Hardcover,287,2021,2021,,6/3/21,to-read,to-read (#147),to-read,,,,0,0
42377825,The Stonewall Reader,New York Public Library,"Library, New York Public",Edmund White,,,0,4.36,Penguin Classics,Kindle Edition,288,2019,2019,,5/27/21,dnf,dnf (#21),dnf,oppression olympics issues... ,,,0,0
40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,0385521316,9780385521314,0,4.45,Doubleday,Hardcover,441,2019,2018,,5/29/21,to-read,to-read (#146),to-read,,,,0,0
36047860,Milkman,Anna Burns,"Burns, Anna",,0571338763,9780571338764,0,3.54,Faber & Faber,ebook,352,2018,2018,,5/29/21,to-read,to-read (#145),to-read,,,,0,0
762476,Kokoro,Natsume Sōseki,"Sōseki, Natsume",Edwin McClellan,0809260956,9780895267153,0,4.05,Gateway Editions,Paperback,248,1996,1914,,5/29/21,to-read,to-read (#144),to-read,,,,0,0
34449,The Makioka Sisters,Jun'ichirō Tanizaki,"Tanizaki, Jun'ichirō",Edward G. Seidensticker,0679761640,9780679761648,0,4.04,Vintage,Paperback,530,1995,1948,,5/29/21,to-read,to-read (#143),to-read,,,,0,0
53223710,Heaven,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David  Boyd",1609456211,9781609456214,0,3.84,Europa Editions,Hardcover,192,2021,2009,,5/29/21,to-read,to-read (#142),to-read,,,,0,0
53359447,Hummingbird Salamander,Jeff VanderMeer,"VanderMeer, Jeff",,0374173540,9780374173548,0,3.27,MCD,Hardcover,351,2021,2021,,5/29/21,to-read,to-read (#141),to-read,,,,0,0
51075516,Vogue: Fantasy  Fashion,Vogue Editors,"Editors, Vogue",,141973332X,9781419733321,0,4.09,Abrams,Hardcover,336,2020,,,1/12/21,to-read,to-read (#107),to-read,,,,0,0
50755102,Funny Weather: Art in an Emergency,Olivia Laing,"Laing, Olivia",,132400570X,9781324005704,0,4.04,W. W. Norton & Company,Hardcover,272,2020,2020,,12/13/20,dnf,dnf (#20),dnf,,,,0,0
44781490,"You're a Miracle (and a Pain in the Ass): Embracing the Emotions, Habits, and Mystery That Make You You",Mike McHargue,"McHargue, Mike",,1984823248,9781984823243,0,4.18,Convergent Books,Hardcover,240,2020,2020,,4/12/21,to-read,to-read (#140),to-read,,,,0,0
53915329,"Halfway Home: Race, Punishment, and the Afterlife of Mass Incarceration",Reuben Jonathan Miller,"Miller, Reuben Jonathan",,0316451517,9780316451512,0,4.22,"Little, Brown and Company",Hardcover,352,2021,2021,,4/5/21,to-read,to-read (#139),to-read,,,,0,0
53137911,After: A Doctor Explores What Near-Death Experiences Reveal about Life and Beyond,Bruce  Greyson,"Greyson, Bruce",,1250263034,9781250263032,0,4.18,St. Martin's Essentials,Hardcover,272,2021,2021,,4/5/21,to-read,to-read (#138),to-read,,,,0,0
53138199,Girlhood,Melissa Febos,"Febos, Melissa",Forsyth Harmon,1635572525,9781635572520,0,4.28,Bloomsbury Publishing,Hardcover,320,2021,2021,,4/5/21,to-read,to-read (#137),to-read,,,,0,0
50997029,"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",Nicole LePera,"LePera, Nicole",,0063012103,9780063012103,0,4.15,Harper Wave,ebook,320,2021,2021,,4/5/21,to-read,to-read (#136),to-read,,,,0,0
52696571,Parachutes,Kelly Yang,"Yang, Kelly",,0062941089,9780062941084,0,4.21,Katherine Tegen Books,Hardcover,496,2020,2020,,4/3/21,to-read,to-read (#135),to-read,,,,0,0
53152636,Mexican Gothic,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,,,0,3.68,Del Rey,Hardcover,301,2020,2020,,3/18/21,to-read,to-read (#134),to-read,,,,0,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,0525562028,9780525562023,0,4.05,Penguin Press,Hardcover,246,2019,2019,,2/24/21,to-read,to-read (#125),to-read,,,,0,0
36687229,Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall,"Kendall, Mikki",,,,0,4.4,Viking,Hardcover,267,2020,2020,,3/11/21,to-read,to-read (#133),to-read,,,,0,0
17851885,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,"Yousafzai, Malala",Christina Lamb,0316322407,9780316322409,0,4.15,"Little, Brown and Company",Hardcover,327,2013,2012,,4/23/18,to-read,to-read (#6),to-read,,,,0,0
40274582,American Spy,Lauren Wilkinson,"Wilkinson, Lauren",,0812998952,9780812998955,0,3.51,Random House,Hardcover,292,2019,2019,,3/11/21,to-read,to-read (#132),to-read,,,,0,0
36755779,Rising: Dispatches from the New American Shore,Elizabeth Rush,"Rush, Elizabeth",,1571313672,9781571313676,0,4.21,Milkweed Editions,Hardcover,299,2018,2018,,3/11/21,to-read,to-read (#131),to-read,,,,0,0
18144103,"Champagne Supernovas: Kate Moss, Marc Jacobs, Alexander McQueen, and the '90s Renegades Who Remade Fashion",Maureen Callahan,"Callahan, Maureen",,1451640536,9781451640533,0,3.65,Touchstone,Hardcover,288,2014,2014,,12/13/20,to-read,to-read (#88),to-read,,,,0,0
36794499,Notes on a Foreign Country: An American Abroad in a Post-American World,Suzy Hansen,"Hansen, Suzy",,0374537836,9780374537838,0,4.06,"Farrar, Straus and Giroux",Paperback,288,2018,2017,,3/11/21,to-read,to-read (#130),to-read,,,,0,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,,,0,4.33,Riverhead Books,Paperback,371,2004,2003,,3/11/21,to-read,to-read (#129),to-read,,,,0,0
51187948,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,"Larson, Erik",,,,0,4.29,Crown,Kindle Edition,546,2020,2020,,4/21/20,to-read,to-read (#61),to-read,,,,0,0
41956510,Taking Up Space: The Black Girl’s Manifesto for Change,Chelsea Kwakye,"Kwakye, Chelsea",Ore Ogunbiyi,1529118530,9781529118537,0,4.33,Merky Books,Hardcover,320,2019,2019,,7/11/20,to-read,to-read (#83),to-read,,,,0,0
25667449,The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,"Laing, Olivia",,1250039576,9781250039576,0,3.92,Picador,Hardcover,336,2016,2016,,3/1/21,to-read,to-read (#128),to-read,,,,0,0
45046689,"Three Tigers, One Mountain: A Journey Through the Bitter History and Current Conflicts of China, Korea, and Japan",Michael Booth,"Booth, Michael",,1250114063,9781250114068,0,3.92,St. Martin's Press,Hardcover,336,2020,2020,,2/28/21,to-read,to-read (#127),to-read,,,,0,0
16842,A Single Man,Christopher Isherwood,"Isherwood, Christopher",,0816638624,9780816638628,0,4.08,Univ Of Minnesota Press,Paperback,192,2001,1964,,2/28/21,to-read,to-read (#126),to-read,,,,0,0
52128695,"Ace: What Asexuality Reveals About Desire, Society, and the Meaning of Sex",Angela  Chen,"Chen, Angela",,080701379X,9780807013793,0,4.38,Beacon Press,Hardcover,210,2020,2020,,2/20/21,to-read,to-read (#124),to-read,,,,0,0
34184256,Lost Kingdom: The Quest for Empire and the Making of the Russian Nation,Serhii Plokhy,"Plokhy, Serhii",Сергій Плохій,0465098495,9780465098491,0,4.03,Basic Books,Hardcover,432,2017,2017,,2/19/21,to-read,to-read (#123),to-read,,,,0,0
51777605,The Office of Historical Corrections,Danielle  Evans,"Evans, Danielle",,,9781594487330,0,4.21,Riverhead Books,Hardcover,269,2020,2020,,2/8/21,to-read,to-read (#122),to-read,,,,0,0
50088631,Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker,"Kolker, Robert",,038554376X,9780385543767,0,4.16,Doubleday Books,Hardcover,377,2020,2020,,2/7/21,to-read,to-read (#121),to-read,,,,0,0
43263680,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,1250313074,9781250313072,0,4.04,Flatiron Books,Hardcover,461,2019,2019,,2/7/21,to-read,to-read (#120),to-read,,,,0,0
11334,Song of Solomon,Toni Morrison,"Morrison, Toni",,140003342X,9781400033423,0,4.12,Vintage,Paperback,338,2004,1977,,2/7/21,to-read,to-read (#119),to-read,,,,0,0
30038855,"Letters to the Lost (Letters to the Lost, #1)",Brigid Kemmerer,"Kemmerer, Brigid",,1681190087,9781681190082,0,4.34,Bloomsbury USA Childrens,Hardcover,391,2017,2017,,4/18/20,to-read,to-read (#58),to-read,,,,0,0
222328,Deluxe: How Luxury Lost Its Luster,Dana Thomas,"Thomas, Dana",,1594201293,9781594201295,0,3.88,Penguin Press,Hardcover,375,2007,2007,,12/13/20,to-read,to-read (#92),to-read,,,,0,0
31549837,A Love Letter to Whiskey,Kandi Steiner,"Steiner, Kandi",,1539082423,9781539082422,0,4.22,Kandi Steiner,Paperback,378,2016,2016,,2/7/21,to-read,to-read (#118),to-read,,,,0,0
22318585,"Avatar: The Last Airbender - The Rift (Avatar: The Last Airbender, #3)",Gene Luen Yang,"Yang, Gene Luen","Gurihiru, Michael Dante DiMartino, Bryan Konietzko",1616555505,9781616555504,0,4.29,Dark Horse Books,Hardcover,240,2015,2015,,4/2/20,,,read,,,,1,0
16231346,"The Promise (Avatar: The Last Airbender, #1)",Gene Luen Yang,"Yang, Gene Luen","Michael Dante DiMartino, Bryan Konietzko, Gurihiru, Dave Marshall",1616550740,9781616550745,0,4.42,Dark Horse Books,Hardcover,240,2013,2013,,4/2/20,,,read,,,,1,0
36300625,99 Percent Mine,Sally  Thorne,"Thorne, Sally",,0062439626,9780062439628,0,3.38,William Morrow Paperbacks,Hardcover,368,2019,2019,,9/10/18,,,read,,,,1,0
39338454,"The Bride Test (The Kiss Quotient, #2)",Helen Hoang,"Hoang, Helen",,0451490827,9780451490827,0,3.86,Berkley,Paperback,296,2019,2019,,6/7/18,,,read,,,,1,0
259789,The Blood of the Lamb,Peter De Vries,"Vries, Peter De",,0226143880,9780226143880,0,4.03,University of Chicago Press,Paperback,248,2005,1961,,5/26/18,,,read,,,,1,0
